text,label
"I love this movie, it's fantastic!",1
Great acting and wonderful plot.,1
Best film I've seen this year.,1
"Amazing experience, highly recommended.",1
I really enjoyed this cinema masterpiece.,1
The cinematography was breathtaking and the story moved me.,1
A heartwarming tale with brilliant performances from the cast.,1
This director never disappoints — another stunning achievement.,1
I laughed and cried; truly an unforgettable movie night.,1
The soundtrack perfectly complements every emotional scene.,1
Clever writing keeps you engaged from start to finish.,1
Every character felt authentic and well developed.,1
"A perfect blend of humor, drama, and suspense.",1
I would watch this again without hesitation.,1
The pacing was excellent and the ending was satisfying.,1
Visually stunning with a compelling narrative arc.,1
One of the most original films in recent memory.,1
The lead actor delivered a career-defining performance.,1
I left the theater feeling inspired and uplifted.,1
A must-see for anyone who appreciates great storytelling.,1
The chemistry between the two leads was electric.,1
Thought-provoking themes handled with sensitivity and depth.,1
Even the supporting cast shone in their roles.,1
This movie exceeded all my expectations.,1
A delightful surprise that I cannot stop recommending.,1
"The dialogue was sharp, witty, and memorable.",1
Beautifully shot scenes that linger in your mind.,1
An emotional rollercoaster in the best possible way.,1
The plot twists were clever without feeling forced.,1
Simply outstanding — a gem of modern cinema.,1
"Terrible movie, waste of time.",0
I hated the plot and the acting was bad.,0
Worst film ever. Don't watch it.,0
Boring and predictable story.,0
"I didn't like it at all, very disappointing.",0
The script felt lazy and the pacing dragged endlessly.,0
Flat performances ruined what could have been a decent idea.,0
I struggled to stay awake during the second half.,0
Clichéd characters and zero emotional impact.,0
The special effects looked cheap and distracting.,0
A confusing mess with no coherent storyline.,0
I want those two hours of my life back.,0
The humor fell flat and the drama felt forced.,0
Poorly edited scenes made the film hard to follow.,0
The ending made no sense and left me frustrated.,0
Overacted and underwritten from beginning to end.,0
Nothing about this movie felt original or fresh.,0
The soundtrack was annoying and out of place.,0
I expected much more given the talented cast.,0
Shallow characters with no meaningful development.,0
The plot holes were impossible to ignore.,0
A tedious experience I would not recommend to anyone.,0
The dialogue sounded unnatural and cringe-worthy.,0
Visually dull with uninspired camera work.,0
The story went nowhere and the tone was inconsistent.,0
Even the action sequences felt boring and repetitive.,0
A forgettable film that fails on every level.,0
The premise was promising but the execution was awful.,0
I walked out before the credits rolled.,0
A complete disaster from the opening scene onward.,0
